query_name,total_results,timestamp_utc,error,rate_limit_limit,rate_limit_remaining,rate_limit_reset,_group
C_concept__adaptation_actions,496502,2026-01-25T13:58:29Z,,20000,6659,1769672904,C_concept
C_concept__capacities_knowledge,7651515,2026-01-25T13:58:29Z,,20000,6658,1769672904,C_concept
C_concept__livelihood_productivity,10952929,2026-01-25T13:58:29Z,,20000,6657,1769672904,C_concept
C_concept__maladaptation,33747,2026-01-25T13:58:29Z,,20000,6656,1769672904,C_concept
C_concept__resilience_outcomes,1176129,2026-01-25T13:58:29Z,,20000,6655,1769672904,C_concept
C_context_agriculture__ag_systems,2160930,2026-01-25T13:58:29Z,,20000,6654,1769672904,C_context_agriculture
C_context_climate__climate_framing,672263,2026-01-25T13:58:29Z,,20000,6653,1769672904,C_context_climate
C_context_climate__hazards,901490,2026-01-25T13:58:29Z,,20000,6652,1769672904,C_context_climate
C_context_lmics__lmics_countries,6574504,2026-01-25T13:58:29Z,,20000,6651,1769672904,C_context_LMICs
C_context_lmics__lmics_descriptors,407478,2026-01-25T13:58:29Z,,20000,6650,1769672904,C_context_LMICs
C_context_lmics__lmics_regions,1218286,2026-01-25T13:58:29Z,,20000,6649,1769672904,C_context_LMICs
M__measurement_eval,28789562,2026-01-25T13:58:29Z,,20000,6648,1769672904,M
P__agroforestry_tree,5920,2026-01-25T13:58:29Z,,20000,6647,1769672904,P
P__fisheries_aquaculture,231491,2026-01-25T13:58:29Z,,20000,6646,1769672904,P
P__households_poverty,251878,2026-01-25T13:58:29Z,,20000,6645,1769672904,P
P__livestock_pastoral,23146,2026-01-25T13:58:29Z,,20000,6644,1769672904,P
P__marginalized_groups,9961992,2026-01-25T13:58:29Z,,20000,6643,1769672904,P
P__producers_smallscale,33394,2026-01-25T13:58:29Z,,20000,6642,1769672904,P
C_concept__ALL,18457055,2026-01-25T13:58:29Z,,20000,6641,1769672904,C_concept
C_context_agriculture__ALL,2160930,2026-01-25T13:58:29Z,,20000,6640,1769672904,C_context_agriculture
C_context_climate__ALL,1433957,2026-01-25T13:58:29Z,,20000,6639,1769672904,C_context_climate
C_context_lmics__ALL,7229367,2026-01-25T13:58:29Z,,20000,6638,1769672904,C_context_LMICs
M__ALL,28789562,2026-01-25T13:58:29Z,,20000,6637,1769672904,M
P__ALL,10359526,2026-01-25T13:58:29Z,,20000,6636,1769672904,P
TOTAL__ALL,16894,2026-01-25T13:58:29Z,,20000,6635,1769672904,TOTAL
