doi,title,year,final_decision,hard_filter_status,1_population_decision,1_population_quote,1_population_verified,2_concept_decision,2_concept_quote,2_concept_verified,3_context_decision,3_context_quote,3_context_verified,4_methodology_decision,4_methodology_quote,4_methodology_verified,5_geography_decision,5_geography_quote,5_geography_verified,final_decision.1,source_type,title_scopus,publicationName,coverDate,doi_scopus,in_scopus_retrieval,citation
10.1016/j.ijdrr.2018.01.032,The risk of second-best adaptive measures: Farmers facing drought in Thailand,2018.0,include,pass,yes,farmers to adapt to climate events,True,yes,adaptive measures taken by farmers,True,yes,hydrological drought in 2015 and 2016,True,yes,interviewed farmers were able to implement first-best adaptive measures,True,yes,"Suphanburi Province, Thailand",True,include,Peer Reviewed,,,,,False,(2018) The risk of second-best adaptive measures: Farmers facing drought in Thailand. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.1016/j.ijdrr.2018.01.032
10.1007/s10668-023-04301-x,"Nam, L. P., Van Song, N., Quilloy, A. J., Rañola, R. F., Camacho, J. V., Camacho, L. D., & Eluriagac, L. M. (2023, December). Assessment of impacts of adaptation measures on rice farm economic performance in response to climate change: Case study in Vietnam. Environment, Development and Sustainability, 26, 32479–32507. doi:10.1007/s10668-023-04301-x",2023.0,include,pass,yes,A total of 260 rice farmers from Nong Cong district were selected as the sample for the study.,True,yes,The primary objective of this study is to conduct an economic assessment of the effect of adaptation strategies on the agricultural performance of rice farmers.,True,yes,"Climate change impacts, including rising temperatures, erratic changes in the frequency and quantity of rainfall, and the prevalence of extreme weather phenomena, pose threats to rice cultivation.",True,yes,Collected data were analyzed using propensity scores matching (PSM) and the analysis of variance (ANOVA) technique,True,yes,A total of 260 rice farmers from Nong Cong district were selected as the sample for the study.,True,include,Peer Reviewed,,,,,False,"(2023) Nam, L. P., Van Song, N., Quilloy, A. J., Rañola, R. F., Camacho, J. V., Camacho, L. D., & Eluriagac, L. M. (2023, December). Assessment of impacts of adaptation measures on rice farm economic performance in response to climate change: Case study in Vietnam. Environment, Development and Sustainability, 26, 32479–32507. doi:10.1007/s10668-023-04301-x. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.1007/s10668-023-04301-x"
10.1016/j.landusepol.2017.10.023,Determinants of farmers’ adaptation to climate change in agricultural production in the central region of Vietnam,2018.0,include,pass,yes,small-scale farmers,True,yes,adaptation to climate change,True,yes,extreme weather conditions due to climate change,True,yes,binary logit model and multivariate probit model,True,yes,Central Region of Viet Nam,True,include,Peer Reviewed,,,,,False,(2018) Determinants of farmers’ adaptation to climate change in agricultural production in the central region of Vietnam. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.1016/j.landusepol.2017.10.023
10.1016/j.landusepol.2021.105295,Climate change risk perceptions and agricultural adaptation strategies in vulnerable riverine char islands of Bangladesh,2021.0,include,pass,yes,Farmers in the riverine char islands of Bangladesh,True,yes,Agricultural adaptations to climate change,True,yes,"droughts, river erosion, and floods are the major climatic risks",True,yes,"Survey data were collected from 98 households, and focus group discussions",True,yes,Rydas Bari char under the Gaibandha District of Bangladesh,True,include,Peer Reviewed,,,,,False,(2021) Climate change risk perceptions and agricultural adaptation strategies in vulnerable riverine char islands of Bangladesh. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.1016/j.landusepol.2021.105295
10.1016/j.agrformet.2016.04.010.,Assessing the benefits of weather and seasonal forecasts to millet growers in Niger,2016.0,include,pass,yes,Niger millet growers,True,yes,assessing the impacts of 10-days and seasonal forecasts on Niger millet growers' cropping practices and their income,True,yes,"crucial decisions based on some characteristics of the rainy season such as the onset, the offset, the cumulated rainfall or the occurrence of dry spells",True,yes,we apply an ex-ante approach based on the crop model SARRA-H coupled with an economic model that simulates the choice of cropping strategies among 24 available,True,yes,Niger millet growers,True,include,Peer Reviewed,,,,,False,(2016) Assessing the benefits of weather and seasonal forecasts to millet growers in Niger. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.1016/j.agrformet.2016.04.010.
10.5539/sar.v2n3p107,"Knowledge, Perception and Adaptation Strategies to Climate Change Among Farmers of Central State Nigeria",2013.0,include,pass,yes,Farmers of central Nigeria,True,yes,adaptation strategies to climate change among farmers,True,yes,"excessive high temperatures, low and irregular rainfall pattern as well as low crop yields",True,yes,Multi-Stage sampling technique was used to source respondents for the study.,True,yes,Farmers of central Nigeria,True,include,Peer Reviewed,,,,,False,"(2013) Knowledge, Perception and Adaptation Strategies to Climate Change Among Farmers of Central State Nigeria. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.5539/sar.v2n3p107"
10.1108/ijccsm-01-2019-0004,Three-stage quantitative approach of understanding household adaptation decisions in rural Cambodia,2020.0,include,pass,yes,households’ adaptation decisions,True,yes,determinants of household decisions to adapt,True,yes,households’ decisions in both adaptation status and intensity.,True,yes,double hurdle model and multivariate probit model,True,yes,rural Cambodia,True,include,Peer Reviewed,,,,,False,(2020) Three-stage quantitative approach of understanding household adaptation decisions in rural Cambodia. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.1108/ijccsm-01-2019-0004
10.9734/ajaees/2024/v42i112612,Climate Change Adaptation Mechanisms for Smallholder Farmers in Côte d’Ivoire,2024.0,include,pass,yes,smallholder farmers,True,yes,adaptation mechanisms,True,yes,climate change,True,yes,World Bank’s CGAP survey (2016),True,yes,Côte d'Ivoire,True,include,Peer Reviewed,,,,,False,(2024) Climate Change Adaptation Mechanisms for Smallholder Farmers in Côte d’Ivoire. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.9734/ajaees/2024/v42i112612
10.1016/j.ecolecon.2017.08.006,"Farmers' Adaptation to Climate Change, Its Determinants and Impacts on Rice Yield in Nepal",2018.0,include,pass,yes,survey of 422 rice farmers in Nepal,True,yes,farmers' decision-making in adopting climate change adaptation strategies,True,yes,experience with climate change impacts such as drought and flood,True,yes,Based on a survey of 422 rice farmers in Nepal,True,yes,survey of 422 rice farmers in Nepal,True,include,Peer Reviewed,,,,,False,"(2018) Farmers' Adaptation to Climate Change, Its Determinants and Impacts on Rice Yield in Nepal. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.1016/j.ecolecon.2017.08.006"
10.1016/j.envsci.2014.04.002,"Understanding farmers’ adaptation intention to climate change: A structural equation modelling study in the Mekong Delta, Vietnam",2014.0,include,pass,yes,"Data was obtained from structured interviews with 598 rice farmers in the Mekong Delta, Vietnam",True,yes,investigate the adaptation intention of farmers,True,yes,in response to climate change,True,yes,Structural equation modelling was used for investigating the relationships between constructs.,True,yes,"Mekong Delta, Vietnam",True,include,Peer Reviewed,,,,,False,"(2014) Understanding farmers’ adaptation intention to climate change: A structural equation modelling study in the Mekong Delta, Vietnam. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.1016/j.envsci.2014.04.002"
10.1016/j.landusepol.2020.104553,Understanding farmers’ climate adaptation intention in Iran: A protection-motivation extended model,2020.0,include,pass,yes,farmers’ decision-making,True,yes,Adaptation to climate change is a matter of urgent social scientific analysis.,True,yes,Marvdasht County in Iran – a case that exemplifies agricultural stakeholder decision-making in arid and drought-prone regions,True,yes,employing a correlational survey among 256 farmer-stakeholders.,True,yes,Marvdasht County in Iran,True,include,Peer Reviewed,,,,,False,(2020) Understanding farmers’ climate adaptation intention in Iran: A protection-motivation extended model. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.1016/j.landusepol.2020.104553
10.1016/j.gloenvcha.2009.01.002,Determinants of farmers’ choice of adaptation methods to climate change in the Nile Basin of Ethiopia,2009.0,include,pass,yes,farmers to adapt to climate change,True,yes,methods used by farmers to adapt to climate change,True,yes,adapt to climate change,True,yes,Results from the discrete choice model employed,True,yes,Nile Basin of Ethiopia,True,include,Peer Reviewed,,,,,False,(2009) Determinants of farmers’ choice of adaptation methods to climate change in the Nile Basin of Ethiopia. [Journal unavailable – not indexed in Scopus]. https://doi.org/10.1016/j.gloenvcha.2009.01.002
